ID	Main category 1	Secondary category 1	Main category 2	Secondary category 2	Agreement
27809883	Promotion of a Product		Promotion of a Product		pop
29011802	Instruction	Information/Explanation	News/Reporting	Instruction	sek
30008241	Promotion of a Product		Promotion of a Product		pop
30309259	Legal/Regulation		Legal/Regulation		pop
31308381	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	News/Reporting	pop
32511426	Promotion of a Product	Information/Explanation	Promotion of a Product		gl
32813037	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	News/Reporting	pop
33812719	Forum		Forum		pop
34512959	Promotion	Information/Explanation	Promotion of a Product		hier
35308632	Promotion of a Product		Promotion of a Product		pop
35308632#1	Instruction		Instruction		pop
35611279	News/Reporting	Opinion/Argumentation	News/Reporting		gl
36010361	Other	Prose	Opinion/Argumentation		no
36010361#1	Review		Review		pop
36708864	Promotion of a Product	Information/Explanation	Information/Explanation		sek
37408347	List of Summaries/Excerpts	Opinion/Argumentation	List of Summaries/Excerpts	Review	gl
38109693	Instruction		Instruction		pop
40909550	News/Reporting		News/Reporting		pop
41612921	News/Reporting		List of Summaries/Excerpts	News/Reporting	sek
42413111	News/Reporting	Information/Explanation	Information/Explanation		sek
363124	Correspondence		Correspondence		pop
363124#1	Legal/Regulation	Information/Explanation	Information/Explanation		sek
560379	Announcement	Invitation	Announcement		gl
860704	Promotion of a Product	Information/Explanation	Promotion of a Product		gl
1058881	Opinion/Argumentation	News/Reporting	Opinion/Argumentation		gl
1058881#1	Information/Explanation	News/Reporting	Information/Explanation		gl
1058881#2	News/Reporting		Opinion/Argumentation		no
1360964	List of Summaries/Excerpts		List of Summaries/Excerpts	Opinionated News	gl
1560206	Promotion of a Product	Information/Explanation	Promotion of a Product		gl
1759390	List of Summaries/Excerpts		List of Summaries/Excerpts	Opinionated News	gl
1959444	Announcement		Announcement		pop
2159456	Information/Explanation	List of Summaries/Excerpts	Information/Explanation		gl
2359160	Promotion of a Product		Promotion of a Product		pop
2558826	Research Article	Information/Explanation	Information/Explanation	Review	sek
2758961	Promotion	News/Reporting	Opinion/Argumentation	News/Reporting	no
3159864	Opinion/Argumentation	Interview	Interview		sek
3759844	Call	Instruction	Call		gl
3960250	News/Reporting	Information/Explanation	News/Reporting		gl
3960250#1	Forum		Forum		pop
4161143	Review	Opinionated News	Review	News/Reporting	gl
4161143#1	News/Reporting	Opinion/Argumentation	Opinion/Argumentation	News/Reporting	obr
4361969	Invitation	News/Reporting	News/Reporting	Opinion/Argumentation	sek
4562558	Call	Information/Explanation	Call		gl
4858235	Promotion of a Product		Promotion of a Product		pop
5059474	Information/Explanation	Promotion	Instruction		hier
5462551	Invitation		Invitation		pop
5759313	Promotion of a Product	Information/Explanation	Promotion of a Product		gl
5960633	List of Summaries/Excerpts		List of Summaries/Excerpts		pop
6162129	Invitation		Invitation		pop
6659632	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	News/Reporting	pop
6861132	News/Reporting	Opinion/Argumentation	Opinion/Argumentation		sek
7062789	Opinion/Argumentation		Opinion/Argumentation		pop
7062789#1	List of Summaries/Excerpts	Opinion/Argumentation	List of Summaries/Excerpts	Opinion/Argumentation	pop
7062789#2	Forum		Forum		pop
7359114	News/Reporting		News/Reporting		pop
8059395	News/Reporting	Opinion/Argumentation	Opinion/Argumentation		sek
8261246	List of Summaries/Excerpts		List of Summaries/Excerpts	Invitation	gl
10258842	List of Summaries/Excerpts	Promotion	Promotion	News/Reporting	sek
10460852	Information/Explanation		Information/Explanation		pop
11162413	List of Summaries/Excerpts	News/Reporting	List of Summaries/Excerpts	News/Reporting	pop
11459774	Promotion of a Product	Information/Explanation	Promotion of a Product	Information/Explanation	pop
11662122	Information/Explanation	Promotion of a Product	Promotion of a Product		sek
12459181	Forum		Forum		pop
12661859	List of Summaries/Excerpts		List of Summaries/Excerpts		pop
12959451	Forum		Forum		pop
13162508	Promotion of a Product		Promotion of a Product		pop
13459906	Other		Invitation		no
13662456	Information/Explanation	Promotion of a Product	Promotion of a Product	Information/Explanation	obr
14759353	Opinion/Argumentation		Opinion/Argumentation		pop
15560099	Opinion/Argumentation	News/Reporting	Opinion/Argumentation		gl
15859383	News/Reporting	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	pop
18762293#1	Information/Explanation	Promotion of Services	Multiple texts		no
18762293#2	Promotion of Services		Promotion of Services		pop
20559101	List of Summaries/Excerpts	Research Article	List of Summaries/Excerpts	Research Article	pop
20858778	Promotion of a Product	Information/Explanation	Information/Explanation	Promotion of a Product	obr
21458326	Legal/Regulation	Opinion/Argumentation	Information/Explanation		no
21663018	Information/Explanation	Promotion of a Product	Information/Explanation	Promotion of a Product	pop
22058408	Opinion/Argumentation	Information/Explanation	Opinion/Argumentation		gl
22058408#1	News/Reporting	Promotion	Promotion	Opinion/Argumentation	sek
22359014	List of Summaries/Excerpts		List of Summaries/Excerpts	Promotion of a Product	gl
22959476	Opinion/Argumentation	News/Reporting	Opinion/Argumentation		gl
24559017	Opinion/Argumentation	News/Reporting	Opinion/Argumentation		gl
25462693	List of Summaries/Excerpts	Other	Opinion/Argumentation		no
26558358	List of Summaries/Excerpts	News/Reporting	List of Summaries/Excerpts	News/Reporting	pop
26860026	List of Summaries/Excerpts		List of Summaries/Excerpts		pop
27161077	Promotion of a Product		Promotion of a Product		pop
27462070	Forum	Review	Forum		gl
27462070#1	Information/Explanation		Information/Explanation		pop
27858242	Forum		Forum		pop
28761597	Forum		Forum		pop
29062308	Information/Explanation	Opinion/Argumentation	Opinion/Argumentation		sek
29759349	Opinion/Argumentation	News/Reporting	Opinion/Argumentation		gl
30059720#1	Review		Review		pop
30359743	News/Reporting		News/Reporting	Opinion/Argumentation	gl
31359374	Opinion/Argumentation	News/Reporting	Opinion/Argumentation		gl
31660641	News/Reporting		News/Reporting	Opinion/Argumentation	gl
31962153	Information/Explanation		Promotion of a Product	Opinion/Argumentation	no
32262994	Information/Explanation	Opinion/Argumentation	Opinion/Argumentation		sek
32660171	Promotion of a Product	List of Summaries/Excerpts	Promotion of a Product		gl
33658981	Promotion of a Product		Promotion of a Product		pop
34262196	Forum		Forum		pop
34660139	Information/Explanation	Promotion	Information/Explanation	Promotion	pop
36459966	List of Summaries/Excerpts	Other	List of Summaries/Excerpts	Other	pop
36761749	Forum		Forum		pop
167013#1	List of Summaries/Excerpts	Promotion of a Product	Promotion of a Product		sek
364244	List of Summaries/Excerpts	Promotion	Promotion of Services		sek
766587	Opinion/Argumentation		Opinion/Argumentation		pop
964685	Information/Explanation	Instruction	Instruction	Information/Explanation	obr
1067739	Information/Explanation	Promotion	Promotion of a Product	Information/Explanation	sek
1864370	News/Reporting		News/Reporting	Opinion/Argumentation	gl
2064015	Information/Explanation	Invitation	Information/Explanation	Invitation	pop
2264008	Promotion of a Product		Promotion of a Product		pop
2463310	Opinion/Argumentation	Promotion	Opinion/Argumentation	Information/Explanation	gl
2567671	Promotion of a Product		Promotion of a Product		pop
3063840	Information/Explanation		Information/Explanation		pop
3865183	Instruction	Opinion/Argumentation	Opinion/Argumentation		sek
4266533	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	News/Reporting	pop
4467170	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	News/Reporting	pop
5865336	Promotion of a Product		Promotion of a Product		pop
6066999	News/Reporting		Announcement		hier
7265007	News/Reporting		News/Reporting		pop
7466881	Information/Explanation		Information/Explanation		pop
7763717	Promotion of a Product		Promotion of a Product		pop
8464647	Call	Information/Explanation	Call		gl
8963663	Opinion/Argumentation	Promotion of a Product	Information/Explanation	Promotion of a Product	no
9665535	Information/Explanation	Promotion of a Product	Information/Explanation	Promotion of a Product	pop
10567791	Promotion of a Product	Information/Explanation	Information/Explanation	Promotion of a Product	obr
11566955	Promotion of a Product		Promotion of a Product		pop
11566955#1	Information/Explanation	Opinion/Argumentation	Information/Explanation		gl
11566955#2	Instruction	Information/Explanation	Information/Explanation	Promotion of a Product	sek
12864150	Forum	Review	Review		sek
13364639	Promotion of a Product		Promotion of a Product		pop
13566717	Other		Other		pop
13863746	Prose	Opinion/Argumentation	Prose		gl
14066316	Information/Explanation	Call	Call		sek
14866068	Promotion of a Product		Promotion of a Product		pop
15667780	News/Reporting		Opinion/Argumentation	News/Reporting	sek
17766566	News/Reporting		News/Reporting		pop
18365911	Information/Explanation	Promotion of a Product	Information/Explanation	Promotion	gl
18965455	Promotion of Services		Promotion of Services		pop
19864373	List of Summaries/Excerpts	Opinion/Argumentation	List of Summaries/Excerpts	Opinion/Argumentation	pop
20067901	Forum		Forum		pop
20666914	News/Reporting	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	pop
22766520	List of Summaries/Excerpts	Opinionated News	List of Summaries/Excerpts		gl
23067254	List of Summaries/Excerpts	Opinionated News	List of Summaries/Excerpts	Opinionated News	pop
24365631	News/Reporting	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	pop
24667468	Prose		Lyrical		hier
25364651	List of Summaries/Excerpts	Promotion of a Product	List of Summaries/Excerpts	Promotion of a Product	pop
25665713	Call	Information/Explanation	Call		gl
27363653#1	Instruction		Instruction		pop
29263584	List of Summaries/Excerpts	Promotion of a Product	List of Summaries/Excerpts	Promotion of a Product	pop
29865729	Promotion	Call	Invitation		hier
30165669	News/Reporting	Opinion/Argumentation	News/Reporting	Promotion of Services	gl
30467090	Opinion/Argumentation		Opinion/Argumentation		pop
32767713	News/Reporting		News/Reporting		pop
33766990	Information/Explanation		Information/Explanation		pop
34465867	List of Summaries/Excerpts		List of Summaries/Excerpts		pop
35563441	List of Summaries/Excerpts		List of Summaries/Excerpts	News/Reporting	gl
35866681	News/Reporting	Information/Explanation	Information/Explanation		sek
36264271	Forum		Forum		pop
36566082	Promotion of a Product	Information/Explanation	Promotion of a Product	Information/Explanation	pop
37663396	Opinion/Argumentation	News/Reporting	Legal/Regulation		no
38765987	Opinion/Argumentation	Information/Explanation	Opinion/Argumentation	Information/Explanation	pop
39565756	Information/Explanation		Information/Explanation		pop
39966342	Promotion of a Product		Promotion of a Product		pop
40765569	News/Reporting	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	pop
41965345	Opinion/Argumentation		Opinion/Argumentation		pop
471406	Promotion of a Product		Promotion of a Product		pop
771804	Information/Explanation	Promotion of a Product	Information/Explanation	Promotion of a Product	pop
771804#1	Recipe		Recipe		pop
1072843	Instruction	Opinion/Argumentation	Instruction		gl
1271745	Opinion/Argumentation	Review	Opinion/Argumentation	Review	pop
1271745#1	Information/Explanation		Information/Explanation		pop
1869667	Opinion/Argumentation	Information/Explanation	Information/Explanation	Opinion/Argumentation	obr
3070413	FAQ	Information/Explanation	FAQ		gl
3270546	News/Reporting	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	pop
3270546#1	List of Summaries/Excerpts		List of Summaries/Excerpts		pop
3670781	Opinion/Argumentation	Information/Explanation	Information/Explanation		sek
4272524	Promotion of a Product		Promotion of a Product		pop
4969323	Forum		Forum		pop
5170658	List of Summaries/Excerpts		List of Summaries/Excerpts	Opinion/Argumentation	gl
6072833	List of Summaries/Excerpts	Opinionated News	List of Summaries/Excerpts		gl
6072833#1	News/Reporting	Instruction	News/Reporting	Instruction	pop
6072833#2	List of Summaries/Excerpts	Opinionated News	List of Summaries/Excerpts		gl
6072833#3	Announcement		Announcement		pop
6570692	News/Reporting	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	pop
7069544	Other		Information/Explanation	Opinion/Argumentation	no
7271559	News/Reporting	Information/Explanation	News/Reporting		gl
7972644	Opinion/Argumentation	News/Reporting	Opinion/Argumentation		gl
8269465	News/Reporting		News/Reporting		pop
8472041	Promotion		Promotion of a Product		hier
8971889	Promotion	Announcement	Announcement	Promotion of Services	sek
9269106	News/Reporting		News/Reporting	Promotion	gl
9269106#1	Promotion	Information/Explanation	Promotion of a Product		hier
10171917	Call		Call		pop
10671237	List of Summaries/Excerpts		Opinionated News		no
11372613	Promotion of a Product	Information/Explanation	Promotion		hier
12170252	Legal/Regulation		Legal/Regulation		pop
13468354	Promotion of a Product	Information/Explanation	Promotion of a Product	Information/Explanation	pop
15270073	News/Reporting		News/Reporting	Opinion/Argumentation	gl
16071926	Information/Explanation		Information/Explanation		pop
16370824	Announcement	Invitation	Announcement		gl
17871072	List of Summaries/Excerpts	News/Reporting	News/Reporting		sek
18769122	Promotion	News/Reporting	Promotion of a Product	News/Reporting	hier
19272986	News/Reporting	Promotion	News/Reporting	Information/Explanation	gl
19871313	Information/Explanation	News/Reporting	News/Reporting	Information/Explanation	obr
19871313#1	Opinion/Argumentation	News/Reporting	News/Reporting	Opinion/Argumentation	obr
19871313#2	News/Reporting	Promotion of a Product	News/Reporting		gl
19871313#3	News/Reporting	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	pop
19871313#4	Opinion/Argumentation	News/Reporting	Opinion/Argumentation	News/Reporting	pop
21069529	Instruction	Promotion of a Product	Instruction		gl
22569254	News/Reporting	Information/Explanation	News/Reporting	Information/Explanation	pop
23770022	Other		Other		pop
24071055	List of Summaries/Excerpts	News/Reporting	List of Summaries/Excerpts	Opinionated News	gl
24468289	News/Reporting		News/Reporting		pop
24468289#1	List of Summaries/Excerpts	Opinionated News	Opinion/Argumentation	News/Reporting	sek
24769936	Forum		Forum		pop
25371784	Invitation		Invitation		pop
26071580	Promotion of a Product	Information/Explanation	Promotion of a Product	Information/Explanation	pop
26770095	Promotion of a Product		Promotion of a Product		pop
27071386	Opinion/Argumentation		Other		no
27672639	Information/Explanation		Information/Explanation		pop
28670057	Promotion		Promotion	Information/Explanation	gl
30570526	Information/Explanation	Promotion	Invitation		sek
31268416	Forum		Forum		pop
32472742	List of Summaries/Excerpts		List of Summaries/Excerpts		pop
32869156	News/Reporting		News/Reporting		pop
33868957	Information/Explanation	Opinion/Argumentation	Opinion/Argumentation		sek
33868957#1	List of Summaries/Excerpts	Opinion/Argumentation	List of Summaries/Excerpts	Opinion/Argumentation	pop
34869825	List of Summaries/Excerpts	News/Reporting	List of Summaries/Excerpts		gl
35970091	News/Reporting	Promotion	News/Reporting		gl
36272232	Promotion	Information/Explanation	Information/Explanation	Opinion/Argumentation	sek
36272232#1	Instruction		Instruction		pop
37671829	Information/Explanation	Promotion of a Product	Promotion of a Product		sek
41172888	List of Summaries/Excerpts		List of Summaries/Excerpts		pop
41972165	Announcement		Announcement		pop
177483	List of Summaries/Excerpts	Promotion	Promotion		sek
374730	Information/Explanation	Promotion of a Product	Information/Explanation		gl
476885	List of Summaries/Excerpts	Promotion	List of Summaries/Excerpts	Promotion of a Product	gl
674213	List of Summaries/Excerpts	Promotion of a Product	List of Summaries/Excerpts	Promotion of a Product	pop
975590	Opinion/Argumentation		Opinion/Argumentation		pop
1277644	List of Summaries/Excerpts	Invitation	Invitation		sek
